['1' '2' '1' '2' '58' '200' '1']
['0' '2' '1' '0' '100' '200' '5']
['0' '2' '1' '1' '100' '200' '2']
['0' '2' '1' '2' '100' '200' '3']
['0' '2' '1' '1' '100' '200' '6']
['0' '2' '1' '4' '100' '200' '8']
['0' '0' '1' '0' '100' '200' '0']
['0' '0' '1' '0' '100' '200' '5']
['0' '0' '1' '1' '100' '200' '4']
['0' '0' '1' '2' '100' '200' '3']
['0' '0' '1' '1' '100' '200' '6']
['0' '0' '1' '4' '100' '200' '8']
['0' '1' '1' '0' '100' '200' '0']
['0' '1' '1' '0' '100' '200' '5']
['0' '1' '1' '1' '100' '200' '2']
['0' '1' '1' '2' '100' '200' '3']
['0' '1' '1' '1' '100' '200' '6']
['0' '1' '1' '4' '98' '200' '8']
['0' '4' '1' '0' '100' '200' '0']
['0' '4' '1' '0' '100' '200' '5']
['0' '4' '1' '1' '96' '200' '2']
['0' '4' '1' '2' '98' '200' '3']
['0' '4' '1' '1' '97' '200' '6']
['0' '4' '1' '4' '95' '200' '8']
['1' '2' '1' '4' '88' '12' '8']
['1' '0' '1' '0' '88' '12' '6']
['1' '3' '0' '3' '58' '40' '6']
['1' '3' '1' '4' '58' '40' '6']
['1' '3' '1' '0' '58' '40' '6']
['1' '3' '1' '1' '58' '40' '6']
['1' '3' '1' '2' '58' '40' '6']
['1' '2' '0' '4' '75' '80' '6']
['1' '2' '1' '0' '80' '300' '6']
['1' '2' '1' '1' '73' '100' '10']
['1' '2' '1' '2' '63' '300' '8']
['1' '2' '1' '4' '79' '11' '6']
['0' '2' '1' '0' '87' '3000' '9']
['0' '2' '1' '4' '79' '10' '2']
['1' '2' '1' '0' '60' '300' '8']
['1' '2' '1' '1' '77' '400' '2']
['1' '2' '1' '1' '69' '600' '9']
['1' '2' '1' '2' '69' '45' '10']
['0' '2' '1' '1' '87' '300' '6']
['1' '2' '1' '1' '70' '300' '6']
['1' '2' '0' '0' '71' '200' '9']
['1' '2' '0' '4' '79' '9' '8']
['1' '2' '0' '0' '66' '400' '2']
['1' '2' '1' '2' '88' '40' '2']
['1' '2' '1' '4' '83' '65' '2']
['0' '4' '1' '1' '70' '200' '6']
['1' '4' '1' '4' '52' '18' '8']
['0' '4' '1' '4' '63' '200' '10']
['1' '4' '1' '1' '67' '400' '8']
['1' '4' '1' '1' '83' '50' '9']
['0' '4' '1' '4' '83' '150' '6']
['1' '4' '1' '2' '61' '200' '5']
['1' '4' '1' '4' '56' '450' '3']
['0' '0' '1' '3' '81' '350' '5']
['1' '0' '1' '0' '71' '200' '10']
['1' '0' '1' '1' '71' '200' '3']
['1' '0' '1' '0' '65' '400' '6']
['1' '0' '1' '3' '74' '13' '8']
['0' '0' '1' '0' '68' '40' '2']
['1' '0' '1' '0' '85' '15' '10']
['1' '0' '1' '0' '77' '10' '9']
['1' '0' '1' '2' '56' '200' '3']
['1' '0' '1' '4' '55' '200' '9']
['1' '0' '1' '1' '73' '50' '3']
['1' '0' '1' '2' '73' '30' '3']
['1' '0' '1' '4' '55' '300' '2']
['1' '0' '1' '2' '63' '65' '8']
['0' '1' '1' '1' '90' '250' '10']
['1' '1' '1' '0' '75' '200' '8']
['1' '1' '1' '0' '74' '1000' '3']
['1' '1' '1' '1' '74' '60' '2']
['1' '1' '1' '0' '87' '3000' '3']
['1' '1' '1' '0' '75' '40' '10']
['1' '1' '0' '1' '55' '140' '9']
['1' '1' '0' '4' '61' '10' '0']
['1' '1' '0' '2' '66' '150' '9']
['1' '1' '0' '4' '56' '500' '6']
['0' '1' '0' '4' '87' '47' '7']
['1' '1' '0' '4' '73' '33' '8']
['1' '1' '0' '2' '65' '65' '5']
['1' '1' '0' '0' '70' '210' '8']
['1' '1' '0' '3' '83' '180' '3']
['1' '1' '0' '2' '55' '700' '0']
['1' '1' '0' '4' '63' '22' '3']
['1' '1' '0' '0' '67' '22' '3']
['1' '2' '1' '4' '95' '1000' '3']
['1' '2' '1' '4' '95' '1000' '2']
['1' '2' '1' '4' '95' '1000' '6']
['0' '2' '1' '4' '95' '1000' '3']
['0' '2' '1' '4' '95' '1000' '2']
['0' '2' '1' '4' '95' '1000' '6']
['0' '2' '1' '4' '95' '1000' '8']
['0' '2' '1' '4' '95' '1000' '5']
['0' '2' '1' '1' '85' '1000' '3']
['0' '2' '1' '1' '85' '1000' '2']
['0' '2' '1' '1' '85' '1000' '6']
['0' '2' '1' '1' '85' '1000' '5']
['1' '2' '1' '0' '85' '1000' '3']
['0' '2' '1' '0' '85' '1000' '6']
['0' '2' '1' '0' '85' '1000' '2']
['0' '2' '1' '0' '85' '1000' '10']
['1' '2' '1' '2' '78' '1000' '3']
['1' '2' '1' '2' '78' '1000' '10']
['1' '2' '1' '2' '78' '1000' '2']
['1' '2' '1' '2' '78' '1000' '5']
['1' '2' '1' '2' '78' '1000' '9']
['0' '4' '0' '1' '68' '350' '8']
['1' '4' '0' '1' '55' '170' '3']
['1' '2' '0' '1' '80' '1000' '8']
['0' '2' '1' '4' '81' '210' '2']
['0' '2' '0' '1' '70' '250' '6']
['1' '2' '0' '0' '57' '10' '8']
['0' '4' '1' '1' '66' '400' '9']
['0' '4' '0' '4' '67' '225' '7']
['1' '0' '0' '0' '61' '148' '8']
['0' '2' '0' '1' '70' '270' '2']
['0' '0' '1' '0' '86' '1000' '3']
['1' '2' '1' '4' '85' '61' '9']
['0' '2' '1' '1' '89' '400' '9']
['1' '2' '1' '0' '65' '300' '2']
['1' '2' '1' '4' '55' '114' '10']
['0' '2' '1' '2' '55' '300' '10']
['1' '2' '1' '0' '59' '250' '9']
['1' '2' '1' '2' '68' '38' '7']
['1' '2' '1' '1' '67' '450' '9']
['1' '2' '1' '0' '88' '13' '8']
['1' '2' '1' '4' '57' '256' '8']
['1' '2' '1' '4' '78' '37' '7']
['0' '0' '0' '0' '55' '250' '8']
['1' '4' '1' '0' '80' '160' '10']
['1' '2' '0' '4' '79' '9' '8']
['1' '2' '1' '0' '81' '300' '2']
['1' '2' '1' '0' '71' '180' '9']
['1' '4' '0' '0' '66' '400' '6']
['1' '2' '1' '4' '80' '12' '5']
['1' '4' '1' '1' '67' '400' '5']
